time_index,month_sin,month_cos,region_to,subdivision,category,q1,q2,q3,q4,holiday_period,time_squared,time_cubed,time_seasonal,region_encoded,subdivision_encoded,category_encoded,time_region,time_subdivision,Сумма по полю distributed_ads_cost, revenue_first_transactions, revenue_repeat_transactions,Сумма по полю first_traffic,Сумма по полю repeat_traffic,Сумма по полю first_transactions,Сумма по полю repeat_transactions,Сумма по полю ads_cost,Сумма по полю not_ads_cost,Сумма по полю bonus_company,Сумма по полю promo_cost
34,-0.8660254037844386,0.5000000000000001,russia,partners,Комнатные растения,0,0,0,1,0,1156,39304,-29.444863728670914,5,7,13,170,238,68619.57805808084,239854.55558247294,415896.8433214541,423.1582924986653,853.5697949600908,65.44450981779174,120.4790166948475,208494.907736944,2071092.6701121465,55230.23659778104,64068.2993155762
35,-0.5000000000000004,0.8660254037844384,russia,partners,Комнатные растения,0,0,0,1,1,1225,42875,-17.500000000000014,5,7,13,175,245,68198.70519444445,257739.25377203338,420581.5499950508,416.7705871114599,853.5697949600908,70.8504371579954,120.4790166948475,225212.1540100712,2013867.7825407176,55199.733230777674,73327.93814672489
32,-0.8660254037844384,-0.5000000000000004,russia,partners,Цветы,0,0,1,0,0,1024,32768,-27.712812921102028,5,7,31,160,224,2364414.32,26339907.89083333,73137403.52682485,13582.93559920635,38819.00349789916,7644.444898268399,12321.944334086664,10253093.418666666,2689824.9284444447,5191654.833959786,6496017.274410212
33,-1.0,-1.8369701987210297e-16,russia,partners,Цветы,0,0,0,1,0,1089,35937,-33.0,5,7,31,165,231,2373316.93,27515366.505214285,75953658.40988636,12943.644658730158,41024.02488492064,8072.627214285714,12880.348125,10238169.497,2089847.4423343686,5215353.091174072,6879915.337329276
34,-0.8660254037844386,0.5000000000000001,russia,partners,Цветы,0,0,0,1,0,1156,39304,-29.444863728670914,5,7,31,170,238,2353893.17,27627817.140642863,76228868.55821969,12880.93193650794,42182.11855158731,8072.627214285714,12880.348125,10441397.428666666,2071092.6701121465,5218225.918396295,6894161.583259383
35,-0.5000000000000004,0.8660254037844384,russia,partners,Цветы,0,0,0,1,1,1225,42875,-17.500000000000014,5,7,31,175,245,2471567.93,28193147.697476193,76337415.92821969,14264.45120232545,43088.635970418465,8130.532214285714,13119.647569444445,10770800.528666668,2013867.7825407176,5222307.128557911,6971365.731354621
32,-0.8660254037844384,-0.5000000000000004,russia,retention,Аксессуары,0,0,1,0,0,1024,32768,-27.712812921102028,5,8,2,160,256,3505.3207596019333,4077.05896245194,10582.964957631548,5.3349824501220375,257.2187725620304,1.5837569928114201,8.073816154894882,4901035.0945833335,1189611.9875,642.7009973035441,1102.6143028696474
33,-1.0,-1.8369701987210297e-16,russia,retention,Аксессуары,0,0,0,1,0,1089,35937,-33.0,5,8,2,165,264,3636.8033251334086,4077.05896245194,10958.70116483937,5.386993439133026,269.82513314881203,1.6290590708779586,8.073816154894882,5103597.168215686,790023.2475,642.7009973035441,849.4182575434565
34,-0.8660254037844386,0.5000000000000001,russia,retention,Аксессуары,0,0,0,1,0,1156,39304,-29.444863728670914,5,8,2,170,272,3568.126111694674,4077.05896245194,11148.950877483046,5.386993439133026,270.6813957750747,1.649470998428135,8.073816154894882,5136315.288215687,830950.4175,642.7009973035441,849.4182575434565
35,-0.5000000000000004,0.8660254037844384,russia,retention,Аксессуары,0,0,0,1,1,1225,42875,-17.500000000000014,5,8,2,175,280,3568.356681870113,4212.777583950477,11876.661654000905,5.438631457333229,271.60858625126514,1.6005740317947887,8.285068899061786,5291952.681142857,864059.55,642.7009973035441,851.0199046022801
32,-0.8660254037844384,-0.5000000000000004,russia,retention,Вкусные наборы,0,0,1,0,0,1024,32768,-27.712812921102028,5,8,3,160,256,42306.571326087855,48752.10390496865,917401.530129069,53.51597253224899,3619.206292924064,11.149356402494526,95.09907296535704,205430.5964653476,1189611.9875,11848.291715849273,23847.207388020623
33,-1.0,-1.8369701987210297e-16,russia,retention,Вкусные наборы,0,0,0,1,0,1089,35937,-33.0,5,8,3,165,264,42485.82936530354,49010.50283354008,917401.530129069,60.4983793404185,3639.3262929240645,11.149356402494526,95.84061601736046,169283.58196614214,790023.2475,12026.114557954535,24364.563431976665
34,-0.8660254037844386,0.5000000000000001,russia,retention,Вкусные наборы,0,0,0,1,0,1156,39304,-29.444863728670914,5,8,3,170,272,42485.82936530354,49010.50283354008,917401.530129069,60.853379340418506,3655.0702214954927,11.149356402494526,95.84061601736046,165217.84418836437,830950.4175,12026.114557954535,24364.563431976665
35,-0.5000000000000004,0.8660254037844384,russia,retention,Вкусные наборы,0,0,0,1,1,1225,42875,-17.500000000000014,5,8,3,175,280,42570.214365303545,49010.50283354008,917401.530129069,68.34195870429134,3747.2094992732705,11.149356402494526,96.94482838980944,162202.18418836436,864059.55,12272.238190145874,24850.282684850226
32,-0.8660254037844384,-0.5000000000000004,russia,retention,Воздушные шары,0,0,1,0,0,1024,32768,-27.712812921102028,5,8,4,160,256,103374.33217966005,46474.372604358716,1431878.618185531,208.58715520477924,9450.215664357118,7.233700624168191,386.96240130733145,205430.5964653476,1189611.9875,54262.70993588141,32881.10155174062
33,-1.0,-1.8369701987210297e-16,russia,retention,Воздушные шары,0,0,0,1,0,1089,35937,-33.0,5,8,4,165,264,101535.63875108864,46284.12349324761,1431878.618185531,208.58715520477924,9515.715664357116,7.233700624168191,386.96240130733145,169283.58196614214,790023.2475,54262.70993588141,33398.457595696666
34,-0.8660254037844386,0.5000000000000001,russia,retention,Воздушные шары,0,0,0,1,0,1156,39304,-29.444863728670914,5,8,4,170,272,100566.04498918387,46127.020636104746,1431878.618185531,208.58715520477924,9515.715664357116,7.233700624168191,386.96240130733145,165217.84418836437,830950.4175,54262.70993588141,33398.457595696666
35,-0.5000000000000004,0.8660254037844384,russia,retention,Воздушные шары,0,0,0,1,1,1225,42875,-17.500000000000014,5,8,4,175,280,99354.31082251722,45772.92799420588,1396216.762852198,208.58715520477924,9515.715664357116,7.087064223335062,387.21240130733145,162202.18418836436,864059.55,52545.75860418206,33884.17684857023
32,-0.8660254037844384,-0.5000000000000004,russia,retention,Декор,0,0,1,0,0,1024,32768,-27.712812921102028,5,8,5,160,256,11741.408918243598,6506.277409324722,119501.92428741843,33.72285432291321,1853.4523747060548,3.4802014796163716,41.56066219198036,24629.67966162358,1189611.9875,6464.8812577984645,10987.158070685093
33,-1.0,-1.8369701987210297e-16,russia,retention,Декор,0,0,0,1,0,1089,35937,-33.0,5,8,5,165,264,12482.631325651008,7061.561852139855,119501.92428741843,35.45094572067571,2142.5759413310357,4.0916760911410766,41.56066219198036,23948.348556327805,790023.2475,6312.812851815558,11175.738799791267
34,-0.8660254037844386,0.5000000000000001,russia,retention,Декор,0,0,0,1,0,1156,39304,-29.444863728670914,5,8,5,170,272,12520.346325651008,7242.244461567464,119501.92428741843,35.86643485111049,2262.9794549250273,4.09470240693055,41.56066219198036,23645.742028550027,830950.4175,6312.812851815558,11413.0688275086
