time_index,month_sin,month_cos,region_to,subdivision,category,is_paid,q1,q2,q3,q4,holiday_period,region_encoded,subdivision_encoded,category_encoded,is_paid_encoded,ads_cost,traffic_total,transacitons_total,revenue_total,first_transactions,repeat_transactions,revenue_first_transactions,revenue_repeat_transactions,bonus_company,promo_cost,mar_cost
33,-1.0,-1.8369701987210297e-16,spain,paid_web,Хендмейд и хобби,paid,0,0,0,1,0,5,5,29,1,1708356.9180401063,25538.73618879116,2265.3844497814653,10933420.642987633,700.5794676247451,1870.7775920382765,2265733.90730291,6656684.0439992715,228655.71504332434,191447.2645391185,1041859.7274127849
34,-0.8660254037844386,0.5000000000000001,spain,paid_web,Хендмейд и хобби,paid,0,0,0,1,0,5,5,29,1,1292570.5798280789,24243.258780784083,2085.2413097716703,10048306.289252657,637.8528490604097,1724.7859730883274,2023072.3580283392,6081716.077581404,200837.48956432717,175816.07667770472,964444.3803316492
35,-0.5000000000000004,0.8660254037844384,spain,paid_web,Хендмейд и хобби,paid,0,0,0,1,1,5,5,29,1,688957.5370793536,21723.576183325073,1818.3918414536247,8838616.250383116,537.4223264345561,1531.6669658950968,1751721.6159772296,5576197.562005416,165293.98018256348,154459.47435151256,845572.762096794
32,-0.8660254037844384,-0.5000000000000004,spain,paid_web,,paid,0,0,1,0,0,5,5,-1,1,1410083.6163399778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,691387.8015175327
33,-1.0,-1.8369701987210297e-16,spain,paid_web,,paid,0,0,0,1,0,5,5,-1,1,2233267.187862471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,875145.9817058267
34,-0.8660254037844386,0.5000000000000001,spain,paid_web,,paid,0,0,0,1,0,5,5,-1,1,1817480.8496504438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,797730.634624691
35,-0.5000000000000004,0.8660254037844384,spain,paid_web,,paid,0,0,0,1,1,5,5,-1,1,1213867.8069017185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,678859.0163898359
32,-0.8660254037844384,-0.5000000000000004,spain,paid_web,Комнатные растения,paid,0,0,1,0,0,5,5,12,1,1182622.4994169532,2088.518296481954,349.62087516046734,2181895.3378971824,37.68602703516194,351.39206973429424,18473.57375717396,976812.6990245555,2839.763183297153,52823.18819542337,763630.4246572145
33,-1.0,-1.8369701987210297e-16,spain,paid_web,Комнатные растения,paid,0,0,0,1,0,5,5,12,1,2005806.0709394466,5617.422880182533,683.24830946365,4099121.372764976,160.79290589427654,630.9291123392135,265571.3395751207,1355267.3084686222,25093.917398889185,61832.252463743265,947388.6048455087
34,-0.8660254037844386,0.5000000000000001,spain,paid_web,Комнатные растения,paid,0,0,0,1,0,5,5,12,1,1590019.732727419,4321.9454721754555,503.1051694538551,3214007.019029999,98.06628732994102,484.93749338926426,22909.79030054994,780299.3420507545,0.0,46201.0646023295,869973.2577643729
35,-0.5000000000000004,0.8660254037844384,spain,paid_web,Комнатные растения,paid,0,0,0,1,1,5,5,12,1,986406.6899786937,1802.2628747164472,236.25570113580966,2004316.9801604573,0.0,291.8184861960339,0.0,274780.8264747667,0.0,24844.46227613734,751101.6395295176
32,-0.8660254037844384,-0.5000000000000004,spain,paid_web,Цветы,paid,0,0,1,0,0,5,5,30,1,867676.3375235342,23181.6735644205,2024.823847261683,9418212.212250585,609.224739455658,1664.172812945067,2136292.7631160095,6590077.477821715,218375.78421858145,190062.61274582066,863658.6720813895
33,-1.0,-1.8369701987210297e-16,spain,paid_web,Цветы,paid,0,0,0,1,0,5,5,30,1,1690859.9090460276,26710.578148121076,2358.451281564866,11335438.247118378,732.3316183147726,1943.7098555499863,2383390.5289339568,6968532.08726578,240629.93843417347,199071.6770141406,1047416.8522696835
34,-0.8660254037844386,0.5000000000000001,spain,paid_web,Цветы,paid,0,0,0,1,0,5,5,30,1,1275073.570834,25415.100740114,2178.308141555071,10450323.893383402,669.6049997504372,1797.718236600037,2140728.979659386,6393564.1208479125,212811.7129551763,183440.48915272678,970001.5051885478
35,-0.5000000000000004,0.8660254037844384,spain,paid_web,Цветы,paid,0,0,0,1,1,5,5,30,1,671460.5280852746,22895.41814265499,1911.4586732370256,9240633.85451386,569.1744771245837,1604.5992294068064,1869378.2376082763,5888045.605271926,177268.2035734126,162083.88682653464,851129.8869536927
32,-0.8660254037844384,-0.5000000000000004,spain,partners,Декор,paid,0,0,1,0,0,5,6,4,1,1166979.0500393542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690739.3838895886
33,-1.0,-1.8369701987210297e-16,spain,partners,Декор,paid,0,0,0,1,0,5,6,4,1,1990162.6215618474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,874497.5640778828
34,-0.8660254037844386,0.5000000000000001,spain,partners,Декор,paid,0,0,0,1,0,5,6,4,1,1574376.28334982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,797082.2169967468
35,-0.5000000000000004,0.8660254037844384,spain,partners,Декор,paid,0,0,0,1,1,5,6,4,1,970763.2406010947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,678210.5987618917
32,-0.8660254037844384,-0.5000000000000004,spain,partners,Цветы,paid,0,0,1,0,0,5,6,30,1,712056.8161933045,21349.985347746675,1882.9666373694563,8859178.380966,558.5493465095003,1547.7310389061035,1981665.329083374,6159399.227096684,195357.4571692068,184497.6188721173,835224.6301689524
33,-1.0,-1.8369701987210297e-16,spain,partners,Цветы,paid,0,0,0,1,0,5,6,30,1,1535240.3877157979,24878.889931447255,2216.5940716726386,10776404.415833794,681.656225368615,1827.2680815110227,2228763.094901321,6537853.836540751,217611.61138479883,193506.68314043718,1018982.8103572465
34,-0.8660254037844386,0.5000000000000001,spain,partners,Цветы,paid,0,0,0,1,0,5,6,30,1,1119454.0495037702,23583.412523440176,2036.4509316628441,9891290.062098818,618.9296068042794,1681.2764625610735,1986101.54562675,5962885.870122882,189793.38590580167,177875.49527902342,941567.4632761106
35,-0.5000000000000004,0.8660254037844384,spain,partners,Цветы,paid,0,0,0,1,1,5,6,30,1,515841.00675504515,21063.72992598117,1769.6014633447985,8681600.023229275,518.499084178426,1488.1574553678429,1714750.8035756405,5457367.354546895,154249.87652403797,156518.8929528313,822695.8450412556
32,-0.8660254037844384,-0.5000000000000004,spain,retention,Декор,non_paid,0,0,1,0,0,5,7,4,0,1685999.7430003514,0.0,0.0,0.0,0.0,24.759459347595907,0.0,0.0,0.0,16058.728321358125,432226.8654684982
33,-1.0,-1.8369701987210297e-16,spain,retention,Декор,non_paid,0,0,0,1,0,5,7,4,0,2509183.3145228447,0.0,216.861390003378,1883405.0788406625,0.0,304.2965019525151,0.0,179891.25417376356,0.0,25067.792589678014,615985.0456567924
34,-0.8660254037844386,0.5000000000000001,spain,retention,Декор,non_paid,0,0,0,1,0,5,7,4,0,2093396.976310817,0.0,36.718249993583186,998290.7251056856,0.0,158.30488300256593,0.0,0.0,0.0,9436.604728264254,538569.6985756565
35,-0.5000000000000004,0.8660254037844384,spain,retention,Декор,non_paid,0,0,0,1,1,5,7,4,0,1489783.9335620918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419698.0803408014
32,-0.8660254037844384,-0.5000000000000004,spain,retention,Кондитерские и пекарни,non_paid,0,0,1,0,0,5,7,13,0,1528526.6620536419,6826.100720582138,720.8354417508034,3584337.4811495696,148.41765060395224,681.1498309529823,580077.7005404297,2608069.034128276,83435.10665423435,84678.44059655677,482240.98918058566
33,-1.0,-1.8369701987210297e-16,spain,retention,Кондитерские и пекарни,non_paid,0,0,0,1,0,5,7,13,0,2351710.2335761352,10355.005304282717,1054.4628760539858,5501563.516017363,271.5245294630668,960.6868735579014,827175.4663583767,2986523.6435723426,105689.26086982636,93687.50486487667,665999.1693688798
34,-0.8660254037844386,0.5000000000000001,spain,retention,Кондитерские и пекарни,non_paid,0,0,0,1,0,5,7,13,0,1935923.8953641076,9059.527896275638,874.3197360441911,4616449.162282387,208.79791089873132,814.6952546079523,584513.9170838057,2411555.677154475,77871.03539082919,78056.3170034629,588583.8222877439
35,-0.5000000000000004,0.8660254037844384,spain,retention,Кондитерские и пекарни,non_paid,0,0,0,1,1,5,7,13,0,1332310.8526153823,6539.84529881663,607.4702677261457,3406759.1234128443,108.36738827287789,621.5762474147219,313163.1750326961,1906037.1615784871,42327.52600906552,56699.714677270735,469712.20405288885
