time_index,month_sin,month_cos,region_to,subdivision,category,q1,q2,q3,q4,holiday_period,revenue_total
32,-0.8660254037844384,-0.5000000000000004,cis,organic_web,Вкусные наборы,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,organic_web,Вкусные наборы,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,organic_web,Вкусные наборы,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,organic_web,Вкусные наборы,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,organic_web,Воздушные шары,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,organic_web,Воздушные шары,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,organic_web,Воздушные шары,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,organic_web,Воздушные шары,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,organic_web,Декор,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,organic_web,Декор,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,organic_web,Декор,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,organic_web,Декор,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,organic_web,Для дома,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,organic_web,Для дома,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,organic_web,Для дома,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,organic_web,Для дома,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,organic_web,Картины,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,organic_web,Картины,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,organic_web,Картины,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,organic_web,Картины,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,organic_web,Книги,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,organic_web,Книги,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,organic_web,Книги,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,organic_web,Книги,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,organic_web,Кондитерские и пекарни,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,organic_web,Кондитерские и пекарни,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,organic_web,Кондитерские и пекарни,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,organic_web,Кондитерские и пекарни,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,organic_web,Косметика и парфюмерия,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,organic_web,Косметика и парфюмерия,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,organic_web,Косметика и парфюмерия,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,organic_web,Косметика и парфюмерия,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,organic_web,Магазины чая и кофе,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,organic_web,Магазины чая и кофе,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,organic_web,Магазины чая и кофе,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,organic_web,Магазины чая и кофе,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,organic_web,Одежда,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,organic_web,Одежда,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,organic_web,Одежда,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,organic_web,Одежда,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,organic_web,Одежда для детей,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,organic_web,Одежда для детей,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,organic_web,Одежда для детей,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,organic_web,Одежда для детей,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,organic_web,Подарочные сертификаты,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,organic_web,Подарочные сертификаты,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,organic_web,Подарочные сертификаты,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,organic_web,Подарочные сертификаты,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,organic_web,Посуда,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,organic_web,Посуда,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,organic_web,Посуда,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,organic_web,Посуда,0,0,0,1,1,6132765.585616577
32,-0.8660254037844384,-0.5000000000000004,cis,organic_web,Продукты и напитки,0,0,1,0,0,5541109.498643566
33,-1.0,-1.8369701987210297e-16,cis,organic_web,Продукты и напитки,0,0,0,1,0,7671533.546882434
34,-0.8660254037844386,0.5000000000000001,cis,organic_web,Продукты и напитки,0,0,0,1,0,7017085.442795444
35,-0.5000000000000004,0.8660254037844384,cis,organic_web,Продукты и напитки,0,0,0,1,1,6132765.585616577
