year,month,Quarter,Halfyear,region_to,is_global,subdivision,is_paid,category,KEY_clean,is_flowers,Сумма по полю distributed_ads_cost,revenue_first_transactions,revenue_repeat_transactions,revenue_total,first_traffic,repeat_traffic,traffic_total,first_transactions,repeat_transactions,transacitons_total,ads_cost,not_ads_cost,bonus_company,promo_cost,mar_cost,date,time_index
2023,9,Q3,H2,russia,,organic_apps,non_paid,Книги,,non_flowers,0.0,0.0,11529.0,11529.0,43.0,323.0,366.0,0.0,3.6666666,3.6666666,0.0,0.0,266.0,0.0,266.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_apps,non_paid,Комнатные растения,,non_flowers,0.0,719426.0,3654201.0,4373627.0,4732.0,39769.0,44501.0,200.232111,945.4002449,1145.632356,0.0,0.0,92059.0,64720.5,156779.5,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_apps,non_paid,Кондитерские и пекарни,,non_flowers,0.0,4614432.0,24400364.0,29014796.0,25279.0,216337.0,241616.0,2232.403214,10829.86424,13062.26745,0.0,0.0,992100.8366,337874.3003,1329975.137,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_apps,non_paid,Косметика и парфюмерия,,non_flowers,0.0,46944.0,274578.0,321522.0,721.0,4727.0,5448.0,14.25,100.5,114.75,0.0,0.0,6747.0,5718.0,12465.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_apps,non_paid,Магазины чая и кофе,,non_flowers,0.0,103348.0,374874.0,478222.0,597.0,4711.0,5308.0,33.9335827,137.3549197,171.2885024,0.0,0.0,15384.8333,11089.233,26474.0663,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_apps,non_paid,Обувь,,non_flowers,0.0,0.0,1394.0,1394.0,7.0,165.0,172.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_apps,non_paid,Одежда,,non_flowers,0.0,16853.0,11477.0,28330.0,256.0,1392.0,1648.0,2.6844907,2.5,5.1844907,0.0,0.0,6724.0,0.0,6724.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_apps,non_paid,Одежда для детей,,non_flowers,0.0,0.0,0.0,0.0,18.0,156.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_apps,non_paid,Подарочные сертификаты,,non_flowers,0.0,123503.0,613848.0,737351.0,680.0,5410.0,6090.0,27.49884,102.0460287,129.5448687,0.0,0.0,15712.0,11589.0,27301.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_apps,non_paid,Посуда,,non_flowers,0.0,2769.0,75789.0,78558.0,325.0,2357.0,2682.0,1.25,28.49999997,29.74999997,0.0,0.0,4785.8333,860.75,5646.5833,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_apps,non_paid,Продукты и напитки,,non_flowers,0.0,7562.0,249435.0,256997.0,491.0,3976.0,4467.0,17.97171542,75.65357407,93.62528949,0.0,0.0,73030.64389,8974.0,82004.64389,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_apps,non_paid,Съедобные букеты,,non_flowers,0.0,3572686.0,13869599.0,17442285.0,0.0,0.0,0.0,1209.642093,4022.181046,5231.823139,0.0,0.0,399014.7507,240039.667,639054.4177,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_apps,non_paid,Товары для праздника,,non_flowers,0.0,1764.0,32840.0,34604.0,197.0,1429.0,1626.0,1.333333333,24.6666663,25.99999963,0.0,0.0,599.33333,167.33333,766.66666,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_apps,non_paid,Украшения,,non_flowers,0.0,36548.0,365783.0,402331.0,1105.0,8812.0,9917.0,15.0,101.6599628,116.6599628,0.0,0.0,13834.0,2190.0,16024.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_apps,non_paid,Хендмейд и хобби,,non_flowers,0.0,12482.0,143341.0,155823.0,302.0,2835.0,3137.0,7.5,43.965036,51.465036,0.0,0.0,3961.667,4046.16663,8007.83363,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_apps,non_paid,Цветы,,flowers,0.0,49318606.0,252350537.0,301669143.0,199718.0,1424038.0,1623756.0,16083.06254,69178.54888,85261.61142,0.0,0.0,7606730.987,4143417.533,11750148.52,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_web,non_paid,Аксессуары,,non_flowers,0.0,6000.0,2805.0,8805.0,459.0,506.0,965.0,1.0,2.1428571,3.1428571,0.0,0.0,0.0,0.0,0.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_web,non_paid,Вкусные наборы,,non_flowers,0.0,149035.0,200751.0,349786.0,0.0,0.0,0.0,43.5833333,42.0833333,85.6666666,0.0,0.0,0.0,0.0,0.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_web,non_paid,Воздушные шары,,non_flowers,0.0,309132.0,384608.0,693740.0,0.0,0.0,0.0,108.0000002,136.3499997,244.3499999,0.0,0.0,0.0,2384.0,2384.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_web,non_paid,Декор,,non_flowers,0.0,18954.0,44219.0,63173.0,2660.0,5460.0,8120.0,7.6666667,16.297619,23.9642857,0.0,0.0,0.0,0.0,0.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_web,non_paid,Для дома,,non_flowers,0.0,0.0,0.0,0.0,248.0,246.0,494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_web,non_paid,Другое,,non_flowers,0.0,0.0,0.0,0.0,126.0,51.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_web,non_paid,Зоотовары,,non_flowers,0.0,0.0,0.0,0.0,40.0,39.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_web,non_paid,Канцелярские товары,,non_flowers,0.0,0.0,0.0,0.0,43.0,37.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_web,non_paid,Картины,,non_flowers,0.0,0.0,0.0,0.0,327.0,244.0,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_web,non_paid,Книги,,non_flowers,0.0,0.0,0.0,0.0,301.0,158.0,459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_web,non_paid,Комнатные растения,,non_flowers,0.0,519630.0,473166.0,992796.0,16271.0,11043.0,27314.0,139.75,116.6666667,256.4166667,0.0,0.0,544.0,1501.0,2045.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_web,non_paid,Кондитерские и пекарни,,non_flowers,0.0,3276979.0,2971964.0,6248943.0,75025.0,64308.0,139333.0,1517.166667,1298.549967,2815.716634,0.0,0.0,2161.0,28553.5,30714.5,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_web,non_paid,Косметика и парфюмерия,,non_flowers,0.0,33287.0,37756.0,71043.0,1104.0,1154.0,2258.0,14.6666667,15.166667,29.8333337,0.0,0.0,200.0,0.0,200.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_web,non_paid,Магазины чая и кофе,,non_flowers,0.0,44992.0,43090.0,88082.0,1342.0,1552.0,2894.0,18.0,15.9,33.9,0.0,0.0,0.0,0.0,0.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_web,non_paid,Обувь,,non_flowers,0.0,0.0,0.0,0.0,6.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_web,non_paid,Одежда,,non_flowers,0.0,0.0,2380.0,2380.0,135.0,106.0,241.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_web,non_paid,Одежда для детей,,non_flowers,0.0,0.0,0.0,0.0,25.0,15.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_web,non_paid,Подарочные сертификаты,,non_flowers,0.0,9660.0,44955.0,54615.0,998.0,790.0,1788.0,3.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_web,non_paid,Посуда,,non_flowers,0.0,7201.0,8726.0,15927.0,636.0,608.0,1244.0,3.0,2.9761904,5.9761904,0.0,0.0,22.0,0.0,22.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_web,non_paid,Продукты и напитки,,non_flowers,0.0,9957.0,9146.0,19103.0,1286.0,904.0,2190.0,2.5,3.25,5.75,0.0,0.0,0.0,4432.0,4432.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_web,non_paid,Съедобные букеты,,non_flowers,0.0,5227502.0,3109314.0,8336816.0,0.0,0.0,0.0,1730.833333,951.21663,2682.049963,0.0,0.0,2899.0,6661.0,9560.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_web,non_paid,Товары для праздника,,non_flowers,0.0,1685.0,5818.0,7503.0,397.0,308.0,705.0,1.0,3.3333333,4.3333333,0.0,0.0,0.0,0.0,0.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_web,non_paid,Украшения,,non_flowers,0.0,9387.0,25414.0,34801.0,1512.0,1750.0,3262.0,4.5,9.0,13.5,0.0,0.0,0.0,0.0,0.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_web,non_paid,Хендмейд и хобби,,non_flowers,0.0,10066.0,20732.0,30798.0,1235.0,1127.0,2362.0,2.8333333,5.3333333,8.1666666,0.0,0.0,0.0,0.0,0.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_web,non_paid,"Хендмейд, винтаж",,non_flowers,0.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_web,non_paid,Цветы,,flowers,0.0,56156924.0,39624492.0,95781416.0,486026.0,454583.0,940609.0,18354.50003,11468.7333,29823.23333,0.0,0.0,28060.0,154766.5,182826.5,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_web,non_paid,,,non_flowers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124793.0,0.0,0.0,124793.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,other,non_paid,Аксессуары,,non_flowers,0.0,3861.0,1575.0,5436.0,1325.0,503.0,1828.0,4.5,1.5,6.0,0.0,0.0,0.0,0.0,0.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,other,non_paid,Вкусные наборы,,non_flowers,0.0,98926.0,191133.0,290059.0,0.0,0.0,0.0,20.5416758,43.5833333,64.1250091,0.0,0.0,8065.477,4730.0,12795.477,2023-09-01,0.0
2023,9,Q3,H2,russia,,other,non_paid,Воздушные шары,,non_flowers,0.0,218502.0,529274.0,747776.0,0.0,0.0,0.0,72.6666658,164.9166598,237.5833256,0.0,0.0,9434.1667,2757.6666,12191.8333,2023-09-01,0.0
2023,9,Q3,H2,russia,,other,non_paid,Декор,,non_flowers,0.0,53654.0,111744.0,165398.0,3796.0,3790.0,7586.0,24.2619047,37.99999997,62.26190467,0.0,0.0,4326.0,3416.5,7742.5,2023-09-01,0.0
2023,9,Q3,H2,russia,,other,non_paid,Для дома,,non_flowers,0.0,51.0,3800.0,3851.0,202.0,206.0,408.0,1.0,0.0,1.0,0.0,0.0,3800.0,0.0,3800.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,other,non_paid,Другое,,non_flowers,0.0,0.0,0.0,0.0,19.0,11.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,other,non_paid,Зоотовары,,non_flowers,0.0,0.0,0.0,0.0,50.0,40.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,other,non_paid,Канцелярские товары,,non_flowers,0.0,0.0,0.0,0.0,75.0,69.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,other,non_paid,Картины,,non_flowers,0.0,0.0,3183.0,3183.0,240.0,433.0,673.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,other,non_paid,Книги,,non_flowers,0.0,1430.0,4027.0,5457.0,78.0,75.0,153.0,1.0,2.5,3.5,0.0,0.0,0.0,62.5,62.5,2023-09-01,0.0
2023,9,Q3,H2,russia,,other,non_paid,Комнатные растения,,non_flowers,0.0,582283.0,639655.0,1221938.0,8577.0,8827.0,17404.0,148.0,157.3333333,305.3333333,0.0,0.0,10691.0,6901.0,17592.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,other,non_paid,Кондитерские и пекарни,,non_flowers,0.0,2550082.0,3465399.0,6015481.0,29947.0,43003.0,72950.0,1122.499963,1464.333366,2586.833329,196.76,0.0,115644.3333,45523.163,161364.2563,2023-09-01,0.0
2023,9,Q3,H2,russia,,other,non_paid,Косметика и парфюмерия,,non_flowers,0.0,44689.0,51849.0,96538.0,872.0,992.0,1864.0,15.3333333,18.75,34.0833333,0.0,0.0,3345.0,607.0,3952.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,other,non_paid,Магазины чая и кофе,,non_flowers,0.0,89597.0,62456.0,152053.0,1359.0,1095.0,2454.0,21.5,16.83333337,38.33333337,0.0,0.0,857.0,477.5,1334.5,2023-09-01,0.0
2023,9,Q3,H2,russia,,other,non_paid,Обувь,,non_flowers,0.0,0.0,0.0,0.0,2.0,21.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,other,non_paid,Одежда,,non_flowers,0.0,0.0,7786.0,7786.0,503.0,267.0,770.0,0.0,1.0,1.0,0.0,0.0,0.0,864.0,864.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,other,non_paid,Одежда для детей,,non_flowers,0.0,0.0,1270.0,1270.0,19.0,28.0,47.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,other,non_paid,Подарочные сертификаты,,non_flowers,0.0,302876.0,143437.0,446313.0,1268.0,865.0,2133.0,40.0,21.0,61.0,0.0,0.0,3590.0,2190.0,5780.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,other,non_paid,Посуда,,non_flowers,0.0,6375.0,13504.0,19879.0,477.0,495.0,972.0,4.166667,3.3333333,7.5000003,0.0,0.0,3250.0,0.0,3250.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,other,non_paid,Продукты и напитки,,non_flowers,0.0,6542.0,27072.0,33614.0,783.0,778.0,1561.0,7.124990844,5.5,12.62499084,0.0,0.0,16069.52308,2058.0,18127.52308,2023-09-01,0.0
2023,9,Q3,H2,russia,,other,non_paid,Съедобные букеты,,non_flowers,0.0,2909628.0,2383184.0,5292812.0,0.0,0.0,0.0,937.1666999,685.5833293,1622.750029,0.0,0.0,54714.0,12647.5,67361.5,2023-09-01,0.0
2023,9,Q3,H2,russia,,other,non_paid,Товары для праздника,,non_flowers,0.0,0.0,3244.0,3244.0,183.0,354.0,537.0,0.0,2.0,2.0,0.0,0.0,0.0,289.5,289.5,2023-09-01,0.0
2023,9,Q3,H2,russia,,other,non_paid,Украшения,,non_flowers,0.0,12535.0,44814.0,57349.0,1359.0,1385.0,2744.0,6.0,17.0,23.0,0.0,0.0,4783.5,112.0,4895.5,2023-09-01,0.0
2023,9,Q3,H2,russia,,other,non_paid,Хендмейд и хобби,,non_flowers,0.0,4670.0,20000.0,24670.0,793.0,981.0,1774.0,2.5,8.333333,10.833333,0.0,0.0,83.5,0.0,83.5,2023-09-01,0.0
